95018, 0.34, 0.12
95102, 0.30, 0.16
95186, 0.23, 0.17
95270, 0.28, 0.15
95353, 0.32, 0.15
95437, 0.28, 0.16
95521, 0.37, 0.24
95605, 0.32, 0.22
95688, 0.22, 0.15
95772, 0.23, 0.10
95856, 0.20, 0.19
95940, 0.18, 0.22
96023, 0.17, 0.22
96107, 0.18, 0.22
96191, 0.13, 0.21
96275, 0.16, 0.20
96358, 0.16, 0.30
96442, 0.21, 0.26
96526, 0.19, 0.26
96610, 0.19, 0.20
96693, 0.21, 0.17
96777, 0.23, 0.22
96861, 0.26, 0.21
96945, 0.24, 0.23
97028, 0.24, 0.26
97112, 0.23, 0.23
97196, 0.28, 0.24
97280, 0.27, 0.26
97363, 0.27, 0.20
97447, 0.26, 0.29
97531, 0.22, 0.22
97615, 0.23, 0.17
97698, 0.20, 0.27
97782, 0.20, 0.24
97866, 0.25, 0.22
97949, 0.24, 0.23
98033, 0.22, 0.19
98117, 0.22, 0.21
98201, 0.23, 0.19
98284, 0.29, 0.23
98368, 0.24, 0.21
98452, 0.24, 0.17
98536, 0.19, 0.23
98619, 0.21, 0.26
98703, 0.26, 0.26
98787, 0.30, 0.25
98871, 0.32, 0.20
98954, 0.25, 0.23
99038, 0.27, 0.22
99122, 0.27, 0.20
99206, 0.24, 0.24
99289, 0.25, 0.21
99373, 0.22, 0.22
99457, 0.22, 0.21
99541, 0.27, 0.20
99624, 0.28, 0.20
99708, 0.27, 0.20
99792, 0.27, 0.21
99876, 0.26, 0.23
99959, 0.20, 0.22
100043, 0.30, 0.21
100127, 0.29, 0.19
100211, 0.36, 0.16
100294, 0.32, 0.18
100378, 0.32, 0.21
100462, 0.28, 0.23
100546, 0.26, 0.28
100629, 0.27, 0.27
100713, 0.25, 0.28
100797, 0.33, 0.28
100881, 0.31, 0.22
100964, 0.25, 0.20
101048, 0.34, 0.21
101132, 0.37, 0.25
101216, 0.36, 0.21
101299, 0.32, 0.21
101383, 0.20, 0.30
101467, 0.28, 0.22
101551, 0.31, 0.27
101634, 0.34, 0.28
101718, 0.40, 0.18
101802, 0.33, 0.18
101886, 0.36, 0.19
101969, 0.40, 0.24
102053, 0.42, 0.15
102137, 0.49, 0.22
102221, 0.97, 0.08
102304, 0.92, 0.18
turn on
102388, 0.73, 0.12
102472, -0.30, 0.03
102556, -0.97, 1.89
102639, -11.15, 0.20
102723, -3.42, 0.51
102807, 4.45, -7.53
102891, 3.94, -3.35
102975, 2.12, -2.11
103058, 0.74, -1.42
103142, 2.12, -3.07
103226, 5.12, -4.66
103310, 8.32, -5.16
103393, 8.46, -2.51
103477, -1.17, -0.03
103561, -3.87, 3.21
103645, -0.38, -3.70
103729, 5.25, -4.46
103812, 0.59, -1.64
103896, -3.51, 1.15
103980, -6.59, 3.61
104064, -5.47, 4.61
104148, 1.58, 1.56
104231, 0.02, 1.85
104315, 1.75, -2.19
104399, 3.65, -1.43
104483, -2.92, 2.28
104566, 1.87, -2.43
104650, 3.45, -1.97
104734, -3.66, 2.67
104818, -2.52, 0.05
104902, 3.16, -3.31
104985, 5.31, -3.42
105069, 8.71, -5.60
105153, 7.82, -2.71
105237, -3.84, 2.49
105321, 2.11, 0.85
105404, -6.59, 4.38
105488, 3.77, -4.31
105572, 3.41, -1.87
105656, 4.74, -1.08
105740, 3.19, 0.37
105823, -5.84, 4.31
105907, 6.74, -5.67
105991, 7.48, -3.93
106075, -3.20, 2.42
106159, -5.12, 1.68
106242, -3.44, 0.50
106326, -5.49, 2.82
106410, 5.47, -2.69
106494, 3.16, -4.23
106577, 2.15, -3.44
106661, -3.33, 0.42
106745, -1.03, 1.55
106829, 4.42, -4.16
106913, -1.37, -1.81
106996, -6.96, 2.22
107080, -4.96, 3.29
107164, 0.73, -3.19
107248, -5.11, 2.11
107332, 3.95, -4.29
107415, -4.71, 1.77
107499, 5.52, -4.18
107583, -5.24, 1.65
107667, 1.84, -0.67
107750, 0.71, -1.57
107834, 1.56, -1.43
107918, 0.85, -0.97
108002, 0.05, -0.51
108086, -0.73, 0.81
108169, 0.32, 0.03
108253, 1.90, -1.26
108337, 1.70, -1.18
108421, 0.54, -0.49
108505, -1.41, -0.18
108588, -2.07, 1.17
108672, -0.78, 0.46
108756, -4.65, 2.33
108840, 3.87, -0.59
108924, 4.42, -4.36
109007, 0.03, -1.61
109091, -6.89, 2.15
109175, -0.09, 1.76
109259, -1.87, -0.40
109342, -4.88, 2.86
109426, 3.29, -4.54
109510, -3.93, 1.27
109594, 2.46, -4.67
109678, 1.37, 0.12
109761, -4.34, 0.79
109845, -0.41, 1.89
109929, 2.26, -4.14
110013, -6.17, 2.02
110096, 6.83, -3.11
110180, -5.16, 2.02
110264, 3.78, -0.33
110348, 2.81, -4.02
110432, -5.54, 1.74
110515, 4.61, -0.28
110599, -4.29, 1.64
110683, -0.52, 2.26
110767, 4.85, -1.96
110851, 5.42, -5.36
110934, 2.91, -4.06
111018, -5.27, 1.36
111102, 5.79, -2.03
111186, -7.48, 3.64
111270, 4.31, -0.80
111353, -6.93, 3.14
111437, 0.64, 1.49
111521, -1.23, -2.29
111605, -2.26, 1.54
111688, -0.29, -3.40
111772, 9.96, -4.39
111856, -2.62, 1.66
111940, 4.01, -0.37
112024, 7.90, -5.73
112107, 2.28, -3.75
112191, -5.35, 0.59
112275, -3.04, 2.14
112359, -5.56, 2.57
turn off
112443, 7.96, 0.08
112526, -4.47, 5.80
112610, -17.43, 13.04
112694, -8.11, 6.59
112778, -3.82, 2.67
112861, -1.10, 2.00
112945, -0.57, 0.73
113029, 0.10, 0.54
113113, 0.26, 0.43
113196, 0.53, 0.25
113280, 0.47, 0.18
113364, 0.44, 0.16
113448, 0.36, 0.23
113531, 0.32, 0.21
113615, 0.36, 0.20
113699, 0.31, 0.14
113783, 0.36, 0.18
113866, 0.30, 0.20
113950, 0.31, 0.14
114034, 0.32, 0.17
114118, 0.34, 0.17
114201, 0.35, 0.20
114285, 0.32, 0.22
114369, 0.34, 0.21
114453, 0.32, 0.20
114536, 0.29, 0.24
114620, 0.30, 0.17
114704, 0.35, 0.18
114788, 0.31, 0.20
114871, 0.30, 0.13
114955, 0.36, 0.17
115039, 0.33, 0.20
115123, 0.37, 0.17
115206, 0.38, 0.15
115290, 0.38, 0.18
115374, 0.33, 0.20
115458, 0.37, 0.20
115541, 0.52, 0.36
115625, 0.44, 0.19
115709, 0.44, 0.25[Done] Closed the serial por
